title,abstract,year,journal,cluster,top_terms
Ubiquitin ligase Cbl-b and inhibitory Cblin peptides.,"This review focuses on the Cbl-b muscle atrophy-associated ubiquitin ligase and its inhibitors. Herein, the role of E3 ubiquitin ligase-associated muscle atrophy  genes (atrogenes), including MAFbx-1/agrogin-1 and MuRF-1, as well as another  ubiquitin ligase, Cbl-b and its inhibitors, is discussed. Cbl-b plays an  important role in unloading muscle atrophy caused by spaceflight and in bedridden  patients: Cbl-b ubiquitinated and induced the degradation of IRS-1, a key  intermediate in the IGF-1 signaling. Furthermore, a pentapetpide (DGpYMP),  inhibited Cbl-b-mediated IRS-1 ubiquitination. This peptide-based Cbl-b inhibitor  Cblin and its homologous peptides in foods presumably affect muscle atrophy under  such conditions.",2020,Biochimica et biophysica acta. Proteins and proteomics,7,skeletal; skeletal muscle; muscle atrophy; protein; role
Cardiovascular effects of long-duration space flight.,"INTRODUCTION: Early studies exploring the physiological effects of space travel have indicated the body's capacity for reversible adaptation. However, the impact  of long-duration spaceflight, exceeding 6 months, presents more intricate  challenges. EFFECTS ON THE CARDIOVASCULAR CV SYSTEM: Extended exposure to  microgravity and radiation profoundly affects the CV system. Notable phenomena  include fluid shifts toward the head and modified arterial pressure. These  changes disrupt blood pressure regulation and elevate cardiac output.  Additionally, the loss of venous compression leads to a reduction in central  venous pressure. FLUID AND PLASMA VOLUME CHANGES: The displacement of fluid from  the vascular system to the interstitium, driven by baroreceptor stimulation,  results in a 10%-15% decline in plasma volume. CARDIAC MUSCLE AND HEMATOCRIT  VARIATIONS: Intriguingly, despite potential increases in cardiac workload,  cardiac muscle atrophy and perplexing variations in hematocrit levels have been  observed. The mechanism underlying atrophy appears to involve a shift in protein  synthesis from the endoplasmic reticulum to the mitochondria via  mortalin-mediated mechanisms. ARRHYTHMIAS AND QT INTERVAL PROLONGATION: Instances  of arrhythmias have been recurrently documented, although generally nonlethal, in  both Russian and American space missions. Long-duration spaceflight has been  associated with the prolongation of the QT interval, particularly in extended  missions. RADIATION EFFECTS: Exposure of the heart to the proton and heavy ion  radiation pervasive in deep space contributes to coronary artery degeneration,  augmented aortic stiffness, and carotid intima thickening through  collagen-mediated processes. Moreover, it accelerates the onset of  atherosclerosis and triggers proinflammatory responses. REENTRY AND POSTFLIGHT  CHALLENGES: Upon reentry, astronauts frequently experience orthostatic  intolerance and altered sympathetic responses, which bear potential hazards in  scenarios requiring rapid mobilization or evacuation. CONCLUSION: Consequently,  careful monitoring of these cardiac risks is imperative for forthcoming missions.  While early studies illuminate the adaptability of the body to space travel's  challenges, the intricacies of long-duration missions and their effects on the CV  system necessitate continued investigation and vigilance to ensure astronaut  health and mission success.",2024,Health science reports,6,microgravity; space; spaceflight; simulated; mitochondrial
Bezafibrate attenuates immobilization-induced muscle atrophy in mice.,"Muscle atrophy due to fragility fractures or frailty worsens not only activity of daily living and healthy life expectancy, but decreases life expectancy. Although  several therapeutic agents for muscle atrophy have been investigated, none is yet  in clinical use. Here we report that bezafibrate, a drug used to treat  hyperlipidemia, can reduce immobilization-induced muscle atrophy in mice.  Specifically, we used a drug repositioning approach to screen 144 drugs already  utilized clinically for their ability to inhibit serum starvation-induced  elevation of Atrogin-1, a factor related to muscle atrophy, in myotubes in vitro.  Two candidates were selected, and here we demonstrate that one of them,  bezafibrate, significantly reduced muscle atrophy in an in vivo model of muscle  atrophy induced by leg immobilization. In gastrocnemius muscle, immobilization  reduced muscle weight by an average of ~ 17.2%, and bezafibrate treatment  prevented ~ 40.5% of that atrophy. In vitro, bezafibrate significantly inhibited  expression of the inflammatory cytokine Tnfa in lipopolysaccharide-stimulated  RAW264.7 cells, a murine macrophage line. Finally, we show that expression of  Tnfa and IL-1b is induced in gastrocnemius muscle in the leg immobilization  model, an activity significantly antagonized by bezafibrate administration in  vivo. We conclude that bezafibrate could serve as a therapeutic agent for  immobilization-induced muscle atrophy.",2024,Scientific reports,9,mice; muscle atrophy; protein; immobilization; mass
"Mitochondrial dysfunction and skeletal muscle atrophy: Causes, mechanisms, and treatment strategies.","Skeletal muscle, which accounts for approximately 40% of total body weight, is one of the most dynamic and plastic tissues in the human body and plays a vital  role in movement, posture and force production. More than just a component of the  locomotor system, skeletal muscle functions as an endocrine organ capable of  producing and secreting hundreds of bioactive molecules. Therefore, maintaining  healthy skeletal muscles is crucial for supporting overall body health. Various  pathological conditions, such as prolonged immobilization, cachexia, aging,  drug-induced toxicity, and cardiovascular diseases (CVDs), can disrupt the  balance between muscle protein synthesis and degradation, leading to skeletal  muscle atrophy. Mitochondrial dysfunction is a major contributing mechanism to  skeletal muscle atrophy, as it plays crucial roles in various biological  processes, including energy production, metabolic flexibility, maintenance of  redox homeostasis, and regulation of apoptosis. In this review, we critically  examine recent knowledge regarding the causes of muscle atrophy (disuse,  cachexia, aging, etc.) and its contribution to CVDs. Additionally, we highlight  the mitochondrial signaling pathways involvement to skeletal muscle atrophy, such  as the ubiquitin-proteasome system, autophagy and mitophagy, mitochondrial  fission-fusion, and mitochondrial biogenesis. Furthermore, we discuss current  strategies, including exercise, mitochondria-targeted antioxidants, in vivo  transfection of PGC-1α, and the potential use of mitochondrial transplantation as  a possible therapeutic approach.",2023,Mitochondrion,3,mitochondrial; ros; pgc1α; disuse; mitophagy
"Muscle wasting and aging: Experimental models, fatty infiltrations, and prevention.","Identification of cost-effective interventions to maintain muscle mass, muscle strength, and physical performance during muscle wasting and aging is an  important public health challenge. It requires understanding of the cellular and  molecular mechanisms involved. Muscle-deconditioning processes have been  deciphered by means of several experimental models, bringing together the  opportunities to devise comprehensive analysis of muscle wasting. Studies have  increasingly recognized the importance of fatty infiltrations or intermuscular  adipose tissue for the age-mediated loss of skeletal-muscle function and  emphasized that this new important factor is closely linked to inactivity. The  present review aims to address three main points. We first mainly focus on  available experimental models involving cell, animal, or human experiments on  muscle wasting. We next point out the role of intermuscular adipose tissue in  muscle wasting and aging and try to highlight new findings concerning aging and  muscle-resident mesenchymal stem cells called fibro/adipogenic progenitors by  linking some cellular players implicated in both FAP fate modulation and  advancing age. In the last part, we review the main data on the efficiency and  molecular and cellular mechanisms by which exercise, replacement hormone  therapies, and β-hydroxy-β-methylbutyrate prevent muscle wasting and sarcopenia.  Finally, we will discuss a potential therapeutic target of sarcopenia: glucose  6-phosphate dehydrogenase.",2016,Molecular aspects of medicine,4,wasting; muscle wasting; sarcopenia; loss; understanding
TWEAK and TRAF6 regulate skeletal muscle atrophy.,"PURPOSE OF REVIEW: To discuss the roles and mechanisms of action of tumor necrosis factor-like weak inducer of apoptosis (TWEAK) and tumor necrosis factor  receptor-associated factor 6 (TRAF6) in skeletal muscle atrophy. RECENT FINDINGS:  Proinflammatory cytokines are known to mediate muscle atrophy in many chronic  disease states. However, their role in the loss of skeletal muscle mass in disuse  conditions has just begun to be elucidated. Further, the initial signaling events  leading to the activation of various catabolic pathways in skeletal muscle under  different atrophic conditions are also less well understood. The TWEAK-Fn14  system has now been identified as a novel inducer of skeletal muscle wasting.  Adult skeletal muscles express minimal levels of Fn14, the bona fide TWEAK  receptor. Specific conditions of atrophy such as denervation, immobilization, or  unloading rapidly induce the expression of Fn14 leading to TWEAK-induced  activation of various proteolytic pathways in skeletal muscle. Recent studies  have also demonstrated that the expression and activity of TRAF6 are increased in  distinct models of muscle atrophy. Muscle-specific ablation of TRAF6 inhibits the  induction of atrophy program in response to starvation, denervation, or cancer  cachexia. Moreover, TWEAK also appears to activate some catabolic signaling  through TRAF6-dependent mechanisms. SUMMARY: Recent findings have uncovered TWEAK  and TRAF6 as novel regulators of skeletal muscle atrophy. These proteins should  potentially be used as molecular targets for prevention and/or treatment of  muscular atrophy in future therapies.",2012,Current opinion in clinical nutrition and metabolic care,7,skeletal; skeletal muscle; muscle atrophy; protein; role
Molecular determinants of skeletal muscle force loss in response to 5 days of dry immersion in human.,"BACKGROUND: Astronauts in Earth's orbit experience microgravity, resulting in a decline of skeletal muscle mass and function. On Earth, models simulating  microgravity have shown that the extent of the loss in muscle force is greater  than the loss in muscle mass. The reasons behind this disproportionate loss of  muscle force are still poorly understood. In the present study, we hypothesize  that alongside the loss in skeletal muscle mass, modifications in the expression  profile of genes encoding critical determinants of resting membrane potential,  excitation-contraction coupling and Ca(2+) handling contribute to the decline in  skeletal muscle force. METHODS: Healthy male volunteers (n = 18) participated in  a 5-day dry immersion (DI) study, an Earth-based model of simulated microgravity.  Muscle force measurement and MRI analysis of the cross-sectional area of thigh  muscles were performed before and after DI. Biopsies of the vastus lateralis  skeletal muscle performed before and after DI were used for the determination  Ca(2+) properties of isolated muscle fibres, molecular and biochemical analyses.  RESULTS: The extent of the decline in force, measured as maximal voluntary  contraction of knee extensors (-11.1%, P < 0.01) was higher than the decline in  muscle mass (-2.5%, P < 0.01). The decline in muscle mass was molecularly  supported by a significant repression of the anabolic IGF-1/Akt/mTOR pathway  (-19.9% and -40.9% in 4E-BP1 and RPS6 phosphorylation, respectively), a  transcriptional downregulation of the autophagy-lysosome pathway and a  downregulation in the mRNA levels of myofibrillar protein slow isoforms. At the  single fibre level, biochemical and tension-pCa curve analyses showed that the  loss in force was independent of fibre type (-11% and -12.3% in slow and fast  fibres, respectively) and Ca(2+) activation properties. Finally, we showed a  significant remodelling in the expression of critical players of resting membrane  potential (aquaporin 4: -24.9%, ATP1A2: +50.4%), excitation-contraction coupling  (CHRNA1: +75.1%, CACNA2D1: -23.5%, JPH2: -24.2%, TRDN: -15.6%, S100A1: +27.2%),  and Ca(2+) handling (ATP2A2: -32.5%, CASQ1: -15%, ORAI1: -36.2%, ATP2B1: -19.1%).  CONCLUSIONS: These findings provide evidence that a deregulation in the  expression profile of critical molecular determinants of resting membrane  potential, excitation-contraction coupling, and Ca(2+) handling could be involved  in the loss of muscle force induced by DI. They also provide the paradigm for the  understanding of muscle force loss during prolonged bed rest periods as those  encountered in intensive care unit.",2024,"Journal of cachexia, sarcopenia and muscle",4,wasting; muscle wasting; sarcopenia; loss; understanding
Muscle Atrophy Induced by Mechanical Unloading: Mechanisms and Potential Countermeasures.,"Prolonged periods of skeletal muscle inactivity or mechanical unloading (bed rest, hindlimb unloading, immobilization, spaceflight and reduced step) can  result in a significant loss of musculoskeletal mass, size and strength which  ultimately lead to muscle atrophy. With advancement in understanding of the  molecular and cellular mechanisms involved in disuse skeletal muscle atrophy,  several different signaling pathways have been studied to understand their  regulatory role in this process. However, substantial gaps exist in our  understanding of the regulatory mechanisms involved, as well as their functional  significance. This review aims to update the current state of knowledge and the  underlying cellular mechanisms related to skeletal muscle loss during a variety  of unloading conditions, both in humans and animals. Recent advancements in  understanding of cellular and molecular mechanisms, including IGF1-Akt-mTOR,  MuRF1/MAFbx, FOXO, and potential triggers of disuse atrophy, such as calcium  overload and ROS overproduction, as well as their role in skeletal muscle protein  adaptation to disuse is emphasized. We have also elaborated potential therapeutic  countermeasures that have shown promising results in preventing and restoring  disuse-induced muscle loss. Finally, identified are the key challenges in this  field as well as some future prospectives.",2018,Frontiers in physiology,4,wasting; muscle wasting; sarcopenia; loss; understanding
Cellular mechanism of immobilization-induced muscle atrophy: A mini review.,"It is well-established that regular contraction maintains morphological and functional integrity of skeletal muscle, whereas rigorous exercise training can  upregulate muscle metabolic and contractile function. However, when muscles stop  contraction, such as during immobilization (IM) and denervation, withdrawal of  IGF/Akt/mTOR signaling allows FoxO-controlled protein degradation pathways to  dominate. Mitochondria play an important role in regulating both protein  synthesis and degradation via several redox sensitive signaling pathways such as  mitochondrial biogenesis, fusion and fission dynamics, ubiquitin-proteolysis,  autophagy/mitophagy, and apoptosis. During prolonged IM, downregulation of PGC-1α  and increased mitochondrial oxidative damage facilitate fission protein and  inflammatory cytokine production and activate mitophagic process, leading to a  vicious cycle of protein degradation. This ""mitostasis theory of muscle atrophy""  is the opposite pathway of hormesis, which defines enhanced muscle function with  contractile overload. The demonstration that PGC-1α overexpression via transgene  or in vivo DNA transfection can successfully restore mitochondrial homeostasis  and reverse myocyte atrophy supports such a proposition. Understanding the  mechanism governing mitostasis can be instrumental to the treatment of muscle  atrophy associated with bedrest, cancer cachexia and sarcopenia.",2019,Sports medicine and health science,3,mitochondrial; ros; pgc1α; disuse; mitophagy
Multi-dimensional metabolomic remodeling under diverse muscle atrophic stimuli in vivo.,"Muscle wasting leads to reduced activities of daily living, an increased number of care-dependent individuals, and increased mortality. However, the metabolomic  adaptations underlying muscle wasting remain poorly understood. Here, by  comparing physiological, genetically induced, pathological, and age-related  muscle atrophy, we identify the metabolites modulated by muscle atrophic stimuli,  which we term ""atrometabolites."" Integrated metabolomics reveal that  dysfunctional polyamine synthesis is a common feature of muscle atrophy.  Mechanistically, we identify that adenosylmethionine decarboxylase 1 (Amd1) and  Amd2 are important for maintaining polyamine metabolism and that downregulation  of Amd1 and Amd2 is a trigger of myotube atrophy. Using skeletal muscle-specific  FoxO triple-knockout mice, we find that FoxOs are required for  immobilization-induced metabolomic remodeling and identify FoxO-dependent  atrometabolites. This study comprehensively elucidates the molecular basis of  muscle metabolomic adaptation and provides the datasets that will lead to the  discovery of mechanisms underlying tissue adaptation to maintain homeostasis.",2025,Cell reports,4,wasting; muscle wasting; sarcopenia; loss; understanding
Redox Control of Proteolysis During Inactivity-Induced Skeletal Muscle Atrophy.,"Significance: Skeletal muscles play essential roles in key body functions including breathing, locomotion, and glucose homeostasis; therefore, maintaining  healthy skeletal muscles is important. Prolonged periods of muscle inactivity  (e.g., bed rest, mechanical ventilation, or limb immobilization) result in  skeletal muscle atrophy and weakness. Recent Advances: Disuse skeletal muscle  atrophy occurs due to both accelerated proteolysis and decreased protein  synthesis with proteolysis playing a leading role in some types of  inactivity-induced atrophy. Although all major proteolytic systems are involved  in inactivity-induced proteolysis in skeletal muscles, growing evidence indicates  that both calpain and autophagy play an important role. Regulation of proteolysis  in skeletal muscle is under complex control, but it is established that  activation of both calpain and autophagy is directly linked to oxidative stress.  Critical Issues: In this review, we highlight the experimental evidence that  supports a cause and effect link between reactive oxygen species (ROS) and  activation of both calpain and autophagy in skeletal muscle fibers during  prolonged inactivity. We also review the sources of oxidant production in muscle  fibers during inactivity-induced atrophy, and provide a detailed discussion on  how ROS activates both calpain and autophagy during disuse muscle wasting. Future  Directions: Future studies are required to delineate the specific mechanisms by  which ROS activates both calpain and autophagy in skeletal muscles during  prolonged periods of contractile inactivity. This knowledge is essential to  develop the most effective strategies to protect against disuse muscle atrophy.  Antioxid. Redox Signal. 33, 559-569.",2020,Antioxidants & redox signaling,7,skeletal; skeletal muscle; muscle atrophy; protein; role
Emerging Strategies Targeting Catabolic Muscle Stress Relief.,"Skeletal muscle wasting represents a common trait in many conditions, including aging, cancer, heart failure, immobilization, and critical illness. Loss of  muscle mass leads to impaired functional mobility and severely impedes the  quality of life. At present, exercise training remains the only proven treatment  for muscle atrophy, yet many patients are too ill, frail, bedridden, or  neurologically impaired to perform physical exertion. The development of novel  therapeutic strategies that can be applied to an in vivo context and attenuate  secondary myopathies represents an unmet medical need. This review discusses  recent progress in understanding the molecular pathways involved in regulating  skeletal muscle wasting with a focus on pro-catabolic factors, in particular, the  ubiquitin-proteasome system and its activating muscle-specific E3 ligase  RING-finger protein 1 (MuRF1). Mechanistic progress has provided the opportunity  to design experimental therapeutic concepts that may affect the  ubiquitin-proteasome system and prevent subsequent muscle wasting, with novel  advances made in regards to nutritional supplements, nuclear factor  kappa-light-chain-enhancer of activated B cells (NFB) inhibitors, myostatin  antibodies, β(2) adrenergic agonists, and small-molecules interfering with MuRF1,  which all emerge as a novel in vivo treatment strategies for muscle wasting.",2020,International journal of molecular sciences,4,wasting; muscle wasting; sarcopenia; loss; understanding
Muscle wasting: an overview of recent developments in basic research.,"The syndrome of cachexia, i.e. involuntary weight loss in patients with underlying diseases, sarcopenia, i.e. loss of muscle mass due to ageing, and  general muscle atrophy from disuse and/or prolonged bed rest have received more  attention over the last decades. All lead to a higher morbidity and mortality in  patients and therefore, they represent a major socio-economic burden for the  society today. This mini-review looks at recent developments in basic research  that are relevant to the loss of skeletal muscle. It aims to cover the most  significant publication of last three years on the causes and effects of muscle  wasting, new targets for therapy development and potential biomarkers for  assessing skeletal muscle mass. The targets include 1) E-3 ligases: TRIM32, SOCS1  and SOCS3 by involving the elongin BC ubiquitin-ligase, Cbl-b, culling 7, Fbxo40,  MG53 (TRIM72) and the mitochondrial Mul1, 2) the kinase MST1 and 3) the G-protein  Gαi2. D(3)-creatine has the potential to be used as a novel biomarker that allows  to monitor actual change in skeletal muscle mass over time. In conclusion,  significant development efforts are being made by academic groups as well as  numerous pharmaceutical companies to identify new targets and biomarkers muscle,  as muscle wasting represents a great medical need, but no therapies have been  approved in the last decades.",2014,International journal of cardiology,4,wasting; muscle wasting; sarcopenia; loss; understanding
Nox2 signaling and muscle fiber remodeling are attenuated by losartan administration during skeletal muscle unloading.,"Reduced mechanical loading results in atrophy of skeletal muscle fibers. Increased reactive oxygen species (ROS) are causal in sarcolemmal dislocation of  nNOS and FoxO3a activation. The Nox2 isoform of NADPH oxidase and mitochondria  release ROS during disuse in skeletal muscle. Activation of the angiotensin II  type 1 receptor (AT1R) can elicit Nox2 complex formation. The AT1R blocker  losartan was used to test the hypothesis that AT1R activation drives Nox2  assembly, nNOS dislocation, FoxO3a activation, and thus alterations in morphology  in the unloaded rat soleus. Male Fischer 344 rats were divided into four groups:  ambulatory control (CON), ambulatory + losartan (40 mg kg(-1)  day(-1) ) (CONL),  7 days of tail-traction hindlimb unloading (HU), and HU + losartan (HUL).  Losartan attenuated unloading-induced loss of muscle fiber cross-sectional area  (CSA) and fiber-type shift. Losartan mitigated unloading-induced elevation of ROS  levels and upregulation of Nox2. Furthermore, AT1R blockade abrogated nNOS  dislocation away from the sarcolemma and elevation of nuclear FoxO3a. We conclude  that AT1R blockade attenuates disuse remodeling by inhibiting Nox2, thereby  lessening nNOS dislocation and activation of FoxO3a.",2021,Physiological reports,1,hu; expression; unloading; skeletal; skeletal muscle
How Do Skeletal Muscles Die? An Overview.,"Clarifying the confusion regarding the term ""muscle death"" is of great importance, especially for clinicians. In response to various stimuli, skeletal  muscle may undergo pathological changes, leading to muscle atrophy and  consequently resulting in the loss of muscle strength and function. Depending on  the stimulus, skeletal muscles can be induced to die through different mechanisms  mainly via apoptosis, autophagy and necrosis. Muscle death may occur secondary to  various physiological and pathological conditions such as aging, starvation,  immobilization, denervation, inflammation, muscle diseases and cancer. This  overview aims to elucidate the medical terminology and pathways used to describe  muscle death, which are commonly confused. In addition, some of the common  pathological conditions that lead to muscle death such as cachexia and sarcopenia  of aging are dwelled on.",2015,Advances in experimental medicine and biology,4,wasting; muscle wasting; sarcopenia; loss; understanding
